"","year_q","acf","cases","tbcases","population","q_population","cnr","conf.low","conf.high","period"
"136","2017.2","Non-ACF",270,"All cases",338760,84690,318.809776833156,281.963088557796,359.121593589968,"post-ACF"
"137","2017.3","ACF",170,"All cases",152979,38245,444.502549352857,380.311241740901,516.387033240086,"post-ACF"
"138","2017.3","Non-ACF",315,"All cases",340672,85168,369.85722337028,330.200260843462,412.951271286956,"post-ACF"
"139","2017.4","ACF",128,"All cases",153856,38464,332.778702163062,277.702321190701,395.550457592977,"post-ACF"
"140","2017.4","Non-ACF",237,"All cases",342583,85646,276.720453961656,242.648831328257,314.225995437734,"post-ACF"
"141","2018.1","ACF",156,"All cases",154732,38683,403.277925703798,342.577185665043,471.599294281614,"post-ACF"
"142","2018.1","Non-ACF",254,"All cases",344497,86124,294.923598532349,259.810321603068,333.448036709233,"post-ACF"
"143","2018.2","ACF",179,"All cases",155611,38903,460.118756908208,395.303927833602,532.489508302026,"post-ACF"
"144","2018.2","Non-ACF",251,"All cases",346407,86602,289.831643611002,255.124818974254,327.931560666547,"post-ACF"
"145","2018.3","ACF",193,"All cases",156468,39117,493.39162001176,426.373209132142,567.912891837228,"post-ACF"
"146","2018.3","Non-ACF",273,"All cases",348273,87068,313.548031423715,277.502218873274,352.964321079037,"post-ACF"
"147","2018.4","ACF",139,"All cases",157331,39333,353.392825362927,297.167868006171,417.131444611892,"post-ACF"
"148","2018.4","Non-ACF",203,"All cases",350156,87539,231.896640354585,201.121571102974,266.040096041674,"post-ACF"
